,,,params.det_1,params.det_2,params.laseroff,params.laseron,params.main_det,params.pr_1,params.pr_2,target
,,,96.22434562,15.48223129,398845.9685,162426.8378,19.43438272,1.298313422,5.531458067,30
,,,96.22500891,15.48289458,398853.8798,162434.7718,19.43504601,1.298976713,5.532121358,30
,,,156.1480785,24.73484331,352701.1358,164286.963,16.63772998,4.640229986,7.047873689,30
,,,134.4412069,25.53012436,383327.4251,168208.1638,17.82035077,1.269155998,5.463567644,30
,,,145.9127065,6.077842641,387449.9101,140323.2096,17.55685213,5.116310019,0.813834005,30
,,,153.7818507,8.467843388,391953.6998,195805.7501,19.48809826,3.960601989,6.886977101,30
,,,137.0102116,19.90446631,495173.7474,193879.7441,19.34462944,6.043608245,5.588452178,30
,,,131.1487395,23.27678736,413183.709,151068.6804,17.7407851,6.468883874,6.651303266,30
,,,147.0238735,23.29321502,377910.2583,179823.5298,16.32303317,3.780325885,8.067592441,30
,,,153.2418762,9.628261012,413455.0643,151186.4859,17.61418737,6.560860274,0.947610982,30
,,,143.7523516,14.32400441,399888.2521,172187.8855,16.85571825,3.995308965,9.161849674,30
,,Average,135.9009318,16.92750124,401158.4591,167421.0929,18.0228012,4.039325034,5.608421855,30
